Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Data_Placeholder,Falta de Comparência
1,2025-10-20 00:00:00,21h00,Sintético,Eng. Informática,1.0,4.0,Tecnologias de Informação,2,A,False,
1,2025-10-20 00:00:00,22h00,Sintético,Eng. Civil,4.0,3.0,CBM,2,B,False,
1,2025-10-20 00:00:00,23h00,Sintético,Fisioterapia,1.0,1.0,Biotecnologia,1,,False,
1,2025-10-21 00:00:00,21h00,Sintético,GPT,2.0,0.0,Administração Pública,1,,False,
1,2025-10-21 00:00:00,22h00,Sintético,ECT,1.0,2.0,Economia,1,,False,
1,2025-10-21 00:00:00,23h00,Sintético,Eng. Biomédica,3.0,7.0,Finanças,1,,False,
1,2025-10-22 00:00:00,20h00,Sintético,Biologia,1.0,5.0,Geologia,2,A,False,
1,2025-10-22 00:00:00,21h00,Sintético,Eng. Materiais,5.0,1.0,Eng. Física,2,A,False,
1,2025-10-22 00:00:00,22h00,Sintético,EGI,2.0,1.0,EET,1,,False,
1,2025-10-22 00:00:00,23h00,Sintético,Contabilidade,1.0,2.0,Eng. Mecânica,1,,False,
1,2025-10-23 00:00:00,21h00,Sintético,Marketing,1.0,3.0,Matemática,2,B,False,
1,2025-10-23 00:00:00,22h00,Sintético,Gestão,7.0,0.0,Música,2,B,False,
1,2025-10-23 00:00:00,23h00,Sintético,Eng. Química,6.0,0.0,MTC,2,B,False,
2,2025-11-03 00:00:00,21H00,Sintético,Biotecnologia,3.0,1.0,ECT,1,,False,
2,2025-11-03 00:00:00,22H00,Sintético,EET,0.0,4.0,Fisioterapia,1,,False,
2,2025-11-03 00:00:00,23H00,Sintético,Finanças,2.0,2.0,EGI,1,,False,
2,2025-11-04 00:00:00,21h00,Sintético,Música,1.0,4.0,Eng. Química,2,B,False,
2,2025-11-04 00:00:00,22h00,Sintético,CBM,6.0,2.0,Biologia e Geologia,2,B,False,
2,2025-11-10 00:00:00,21h00,Sintético,Administração Pública,0.0,1.0,Contabilidade,1,,False,
2,2025-11-10 00:00:00,22h00,Sintético,Matemática,0.0,7.0,Gestão,2,B,False,
2,2025-11-11 00:00:00,21h00,Sintético,MTC,0.0,7.0,Eng. Civil,2,B,False,
2,2025-11-11 00:00:00,22h00,Sintético,Tecnologias de Informação,1.0,1.0,Eng. Mecânica B,2,A,False,
2,2025-11-11 00:00:00,23h00,Sintético,Eng. Física,0.0,3.0,Eng. Informática,2,A,False,
3,2025-11-17 00:00:00,21h00,Sintético,Eng. Química,2.0,1.0,Matemática,2,B,False,
3,2025-11-17 00:00:00,22h00,Sintético,Gestão,7.0,0.0,Marketing,2,B,False,
3,2025-11-17 00:00:00,23h00,Sintético,Biologia e Geologia,2.0,3.0,MTC,2,B,False,
3,2025-11-18 00:00:00,21h00,Sintético,Eng. Civil,4.0,3.0,Música,2,B,False,
2,2025-11-18 00:00:00,22h00,Sintético,Geologia,1.0,12.0,Eng. Materiais,2,A,False,
6,2025-11-18 00:00:00,23h00,Sintético,Eng. Informática,2.0,3.0,Eng. Computacional,2,A,False,
3,2025-11-19 00:00:00,20h30,Sintético,Eng. Mecânica B,7.0,0.0,Eng. Física,2,A,False,
3,2025-11-24 00:00:00,21h00,Sintético,ECT,1.0,0.0,EET,1,,False,
3,2025-11-24 00:00:00,22h00,Sintético,GPT,1.0,0.0,Biotecnologia,1,,False,
3,2025-11-25 00:00:00,21H00,Sintético,Fisioterapia,3.0,2.0,Finanças,1,,False,
3,2025-11-25 00:00:00,22H00,Sintético,EGI,2.0,1.0,Eng. Mecânica,1,,False,
