Eng. Mecânica,Finanças,Eng. Biomédica,Gestão e Planeamento em Turismo,Eng. e Gestão Industrial,Contabilidade,Bioquímica,Fisioterapia,Eng. Informática,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,Eng. Química,Eng. e Gestão Industrial B,Enfermagem,Eng. de Materiais,Gestão,Marketing,Eng. Aeroespacial,Ciências Biomédicas,Música,Eng. Física,Eng. Mecânica B,Matemática,Gestão Pública,Economia,Línguas e Relações Empresariais,Ciências do Mar,Eng. Computacional,Eng. Civil,Automação e Sistemas de Produção,Administração Pública,Eng. do Ambiente,Psicologia,Biologia e Geologia,Design,MTC,MOC,Biologia,Biotecnologia,Tradução
965,1084,1061,1106,988,615,732,1096,658,922,1258,733,490,891,507,804,500,593,500,664,1033,402,601,600,581,592,500,345,406,500,894,271,500,513,389,351,500,504,467,207
1162,1114,919,994,1130,840,732,1208,705,924,1061,733,689,861,631,605,595,399,458,680,808,444,672,654,655,398,453,539,404,426,799,266,376,475,373,545,429,517,413,194
1173,1124,869,1094,990,980,895,1045,605,963,961,785,692,850,726,649,624,472,529,553,798,416,693,705,665,489,429,545,331,451,760,384,366,376,397,494,338,474,342,188
1223,1157,973,1044,957,937,999,941,560,964,857,830,698,908,731,575,634,461,579,534,740,415,695,716,703,473,524,619,379,391,712,373,441,358,392,444,308,385,333,218
1235,1163,1002,1071,972,992,987,886,578,965,828,824,753,881,750,587,658,593,700,661,725,403,586,595,710,487,506,630,391,361,580,423,501,293,385,420,296,379,332,216
1246,1120,991,1106,897,977,952,929,608,966,818,769,754,956,768,696,578,691,602,665,702,505,488,674,583,470,595,575,439,447,478,521,457,289,450,419,246,356,284,202
1261,1130,1025,1072,952,1001,1035,952,645,919,794,821,763,873,778,713,645,709,536,665,651,487,479,721,494,543,491,593,495,447,494,448,457,393,364,363,245,265,268,188
1289,1102,967,1072,1021,1001,1093,883,654,923,819,895,775,794,672,714,716,640,532,680,626,501,493,628,485,531,538,605,588,400,519,460,441,493,364,338,328,251,254,187
1289,1159,988,1015,1040,1022,1071,944,718,886,801,836,776,773,576,724,753,643,604,618,626,520,575,658,540,539,538,523,516,496,489,450,441,438,356,319,317,243,251,186
1172,1194,996,1019,1157,1014,1036,964,783,846,755,883,776,753,730,724,765,683,630,618,622,604,575,574,540,539,538,522,504,496,463,450,441,438,356,356,317,243,214,186
1179,1158,1032,1047,1129,912,1039,978,854,840,741,876,776,855,730,724,700,683,630,618,619,604,575,574,540,539,538,522,504,496,463,450,441,438,356,356,317,243,214,186
1195,1063,1035,1065,1162,1007,1006,962,854,840,822,858,776,774,730,724,700,683,630,618,616,604,575,574,540,539,538,522,504,496,463,450,441,438,356,356,317,243,214,186
1201,1064,1035,1027,1008,1007,1006,962,854,840,822,787,776,774,730,724,700,683,630,618,616,604,575,574,540,539,538,522,504,496,463,450,441,438,356,356,317,243,214,186
1239,1064,1035,1027,1008,1007,1006,962,854,840,822,787,776,774,730,724,700,683,630,618,616,604,575,574,540,539,538,522,504,496,463,450,441,438,356,356,317,243,214,186
