Eng. e Gestão Industrial,Fisioterapia,Biologia,Eng. Eletrónica e Telecomunicações,Ciências Biomédicas,Design,Eng. Informática,Gestão e Planeamento em Turismo,Eng. Civil,Eng. do Ambiente,Geologia,Psicologia,Gestão,Eng. Física,Eng. de Materiais,Eng. Mecânica,"Línguas, Literaturas e Culturas",Eng. Biomédica,Eng. Química,Contabilidade,Bioquímica,Biologia e Geologia,Administração Pública,Línguas e Relações Empresariais,Ciências Biomédicas B,Música,MTC,Tradução,Gestão Comercial,Matemática,Eng. Computadores e Telemática,Marketing,Economia,Educação Básica
1392,909,1100,1233,1038,1067,1178,701,820,500,671,501,179,589,755,384,500,941,730,500,500,477,473,445,409,571,324,398,392,372,682,500,809,470
1394,907,1301,1320,1091,1088,1179,908,799,623,828,587,168,659,598,609,511,734,560,378,681,414,550,359,504,634,516,321,260,277,501,430,584,592
1250,1046,1322,1321,1070,949,1117,870,892,632,735,670,310,664,597,471,559,733,638,503,695,552,425,452,469,669,429,312,407,272,366,382,703,509
1258,1054,1324,1334,1057,941,1133,868,876,664,727,683,364,734,698,538,568,632,651,471,575,487,412,496,402,599,417,391,341,263,287,263,583,385
1259,1126,1212,1336,1061,1053,1061,866,887,722,726,625,471,642,694,630,522,621,706,489,611,588,468,543,391,645,494,492,338,218,269,198,600,347
1275,1127,1186,1362,1080,951,1045,886,868,725,828,629,572,587,674,546,606,620,590,453,541,608,421,519,374,538,556,415,389,283,265,192,514,292
1275,1187,1192,1362,1020,1058,938,956,798,749,822,699,514,673,674,445,722,620,648,391,432,560,476,527,354,544,527,331,498,270,214,180,497,198
1287,1202,1193,1363,1008,1060,973,941,797,759,787,728,572,721,673,457,739,618,650,461,520,540,466,439,487,555,581,328,444,249,206,178,439,192
1291,1305,1207,1260,1095,1092,959,909,828,760,809,731,623,762,642,476,759,596,653,451,526,489,487,526,459,471,494,415,362,246,292,287,330,185
1291,1306,1207,1271,1122,1010,932,905,827,761,776,740,649,769,642,556,643,596,670,485,570,504,442,556,452,454,501,384,329,327,272,272,251,184
1293,1339,1174,1272,1123,1000,990,936,825,778,775,743,735,683,642,635,605,595,591,561,553,523,510,480,470,469,433,400,326,308,271,254,236,168
1345,1339,1178,1220,1127,1000,993,878,821,777,771,743,734,683,642,635,605,592,591,561,553,523,510,480,470,469,433,400,326,308,271,254,236,168
1346,1340,1240,1238,1065,1000,975,878,821,777,771,743,734,683,642,635,605,592,591,561,553,523,510,480,470,469,433,400,326,308,271,254,236,168
