Eng. Eletrónica e Telecomunicações,Eng. Mecânica,Eng. e Gestão Industrial,Eng. Informática,Design,Tecnologias de Informação,Administração Pública,Ciências do Mar,Física,Línguas e Relações Empresariais,Bioquímica,Eng. Biomédica,Ciências Biomédicas,Eng. Computadores e Telemática,Fisioterapia,Contabilidade,Música,Biologia,Eng. Informática B,Gestão e Planeamento em Turismo,Biotecnologia,Eng. Física,Eng. Civil,Eng. do Ambiente,Geologia,Eng. de Materiais,MTC,Eng. Computacional,Medicina,Economia,Matemática,Eng. Eletrónica e Telecomunicações B,Gestão,Psicologia
1158,775,1102,1006,1102,874,528,739,423,1213,586,658,574,925,809,351,1007,949,304,915,321,561,452,407,500,683,491,374,500,461,315,255,501,427
1163,939,1140,1015,1134,710,667,734,463,1243,658,649,435,887,812,505,977,952,260,883,318,635,496,568,428,512,417,453,339,458,236,215,449,273
1182,920,1170,1054,1137,707,697,621,402,1249,515,762,578,848,930,566,947,834,316,877,275,671,507,688,471,573,511,359,339,458,330,204,498,179
1184,946,1179,1092,1240,705,700,745,448,1146,490,736,586,724,931,616,909,838,308,868,267,676,457,698,467,568,517,318,338,407,284,157,504,173
1144,958,1228,1105,1280,656,766,839,523,1097,503,785,691,712,935,622,815,733,377,855,265,677,368,686,379,470,442,314,426,399,373,155,452,168
1148,982,1294,1160,1214,728,772,901,575,1042,636,781,700,640,947,624,791,667,451,793,252,560,439,707,477,453,371,345,417,398,304,122,372,167
1149,1006,1177,1277,1217,832,779,1020,692,923,651,778,717,639,948,635,687,534,495,769,403,615,519,773,456,446,297,340,411,386,337,99,328,136
1151,1050,1199,1289,1217,832,836,1008,697,879,667,806,651,611,950,642,685,407,583,765,333,527,464,716,503,430,320,312,396,343,328,210,217,135
1155,1026,1223,1332,1174,876,924,987,698,879,739,837,662,611,857,644,654,480,592,721,416,533,492,644,501,352,313,303,461,340,266,204,215,130
1164,1132,1223,1226,1192,876,926,969,713,870,742,868,684,678,775,675,587,506,593,690,514,503,477,549,479,327,372,336,392,321,308,171,174,128
1237,1153,1150,1230,1192,872,926,948,740,927,822,811,764,739,695,680,587,575,566,629,533,519,482,480,477,396,388,331,323,321,292,217,158,82
1289,1216,1155,1178,1129,944,911,876,875,829,822,806,878,837,695,679,651,575,566,565,533,519,482,480,477,396,388,331,323,321,292,217,158,82
1290,1229,1231,1193,1053,931,911,876,875,829,822,806,743,723,695,679,651,575,566,565,533,519,482,480,477,396,388,331,323,321,292,217,158,82
1353,1296,1168,1126,1053,931,911,876,875,829,822,806,743,723,695,679,651,575,566,565,533,519,482,480,477,396,388,331,323,321,292,217,158,82
