EGI,Eng. Biomédica,Fisioterapia,Eng. Mecânica,EET,GPT,LRE,Eng. Física,Bioquímica,Traduçao,Biologia,Economia,Educaçao Básica,Psicologia
750,750,750,750,750,750,750,750,750,750,750,750,750,750
860,865,868,867,852,648,901,640,633,852,632,590,648,635
872,807,909,925,776,699,777,727,713,748,736,571,597,623
818,826,914,979,864,823,836,717,675,707,771,558,562,536
831,856,952,989,891,753,798,744,652,731,712,531,557,534
852,795,993,991,850,792,834,775,621,695,688,594,535,471
913,847,1007,994,871,778,840,723,641,674,649,591,529,451
981,952,1022,1017,803,755,735,708,641,674,649,591,529,451
1075,1055,928,914,803,755,735,708,641,674,649,591,529,451
1146,984,979,863,803,755,735,708,641,674,649,591,529,451
1146,984,979,863,803,755,735,708,660,639,630,626,495,485
